index,day_of_week,month,hour,x_coord,y_coord,delays
263,5.0,4.0,23.0,-84.367398,33.743262,201.08035714285714
264,5.0,4.0,0.0,-84.462858,33.752988,1115.2813095238093
265,5.0,4.0,1.0,-84.462858,33.752988,610.7863095238095
266,5.0,4.0,2.0,-84.462858,33.752988,1170.7011904761903
267,5.0,4.0,3.0,-84.462858,33.752988,827.4261904761904
268,5.0,4.0,4.0,-84.462858,33.752988,1051.834523809524
269,5.0,4.0,5.0,-84.462858,33.752988,535.1911904761906
270,5.0,4.0,6.0,-84.462858,33.752988,441.0661904761904
271,5.0,4.0,7.0,-84.462858,33.752988,430.69952380952384
272,5.0,4.0,8.0,-84.462858,33.752988,443.66857142857145
273,5.0,4.0,9.0,-84.462858,33.752988,283.4757142857143
274,5.0,4.0,10.0,-84.462858,33.752988,272.5757142857143
275,5.0,4.0,11.0,-84.462858,33.752988,267.75
276,5.0,4.0,12.0,-84.462858,33.752988,168.35
277,5.0,4.0,13.0,-84.462858,33.752988,144.05
278,5.0,4.0,14.0,-84.462858,33.752988,506.0125
279,5.0,4.0,15.0,-84.462858,33.752988,685.9375
280,5.0,4.0,16.0,-84.462858,33.752988,529.4208333333333
281,5.0,4.0,17.0,-84.462858,33.752988,516.3625
282,5.0,4.0,18.0,-84.462858,33.752988,427.05
283,5.0,4.0,19.0,-84.462858,33.752988,423.65
284,5.0,4.0,20.0,-84.462858,33.752988,461.15
285,5.0,4.0,21.0,-84.462858,33.752988,360.05
286,5.0,4.0,22.0,-84.462858,33.752988,481.85
287,5.0,4.0,23.0,-84.462858,33.752988,481.85
288,5.0,4.0,0.0,-84.406888,33.741232,546.6583333333333
289,5.0,4.0,1.0,-84.406888,33.741232,540.8916666666667
290,5.0,4.0,2.0,-84.406888,33.741232,582.3527777777778
291,5.0,4.0,3.0,-84.406888,33.741232,218.7277777777778
292,5.0,4.0,4.0,-84.406888,33.741232,216.32777777777778
293,5.0,4.0,5.0,-84.406888,33.741232,217.2277777777778
294,5.0,4.0,6.0,-84.406888,33.741232,245.7277777777778
295,5.0,4.0,7.0,-84.406888,33.741232,332.1277777777778
296,5.0,4.0,8.0,-84.406888,33.741232,239.7277777777778
297,5.0,4.0,9.0,-84.406888,33.741232,239.7277777777778
298,5.0,4.0,10.0,-84.406888,33.741232,206.09206349206352
299,5.0,4.0,11.0,-84.406888,33.741232,203.5420634920635
300,5.0,4.0,12.0,-84.406888,33.741232,195.2670634920635
301,5.0,4.0,13.0,-84.406888,33.741232,266.3309523809524
302,5.0,4.0,14.0,-84.406888,33.741232,239.2142857142857
303,5.0,4.0,15.0,-84.406888,33.741232,242.01428571428568
304,5.0,4.0,16.0,-84.406888,33.741232,264.1142857142857
305,5.0,4.0,17.0,-84.406888,33.741232,267.92261904761904
306,5.0,4.0,18.0,-84.406888,33.741232,404.7216666666667
307,5.0,4.0,19.0,-84.406888,33.741232,429.05
308,5.0,4.0,20.0,-84.406888,33.741232,275.6
309,5.0,4.0,21.0,-84.406888,33.741232,289.65
310,5.0,4.0,22.0,-84.406888,33.741232,293.2
311,5.0,4.0,23.0,-84.406888,33.741232,334.9458333333333
312,5.0,4.0,0.0,-84.407032,33.741246,603.9
313,5.0,4.0,1.0,-84.407032,33.741246,598.8833333333333
314,5.0,4.0,2.0,-84.407032,33.741246,593.3833333333333
315,5.0,4.0,3.0,-84.407032,33.741246,235.1083333333333
316,5.0,4.0,4.0,-84.407032,33.741246,234.6083333333333
317,5.0,4.0,5.0,-84.407032,33.741246,309.4083333333333
318,5.0,4.0,6.0,-84.407032,33.741246,348.4583333333333
319,5.0,4.0,7.0,-84.407032,33.741246,463.0083333333333
320,5.0,4.0,8.0,-84.407032,33.741246,371.1583333333333
321,5.0,4.0,9.0,-84.407032,33.741246,341.8083333333333
322,5.0,4.0,10.0,-84.407032,33.741246,283.42261904761904
323,5.0,4.0,11.0,-84.407032,33.741246,280.872619047619
324,5.0,4.0,12.0,-84.407032,33.741246,274.697619047619
325,5.0,4.0,13.0,-84.407032,33.741246,351.8492857142857
326,5.0,4.0,14.0,-84.407032,33.741246,332.2392857142857
327,5.0,4.0,15.0,-84.407032,33.741246,327.4892857142857
328,5.0,4.0,16.0,-84.407032,33.741246,330.9392857142857
329,5.0,4.0,17.0,-84.407032,33.741246,367.61428571428576
330,5.0,4.0,18.0,-84.407032,33.741246,499.48
331,5.0,4.0,19.0,-84.407032,33.741246,282.7
332,5.0,4.0,20.0,-84.407032,33.741246,228.45
333,5.0,4.0,21.0,-84.407032,33.741246,275.6
334,5.0,4.0,22.0,-84.407032,33.741246,300.05
335,5.0,4.0,23.0,-84.407032,33.741246,533.65
336,5.0,4.0,0.0,-84.359477,33.743231,179.58333333333331
337,5.0,4.0,1.0,-84.359477,33.743231,171.83333333333331
338,5.0,4.0,2.0,-84.359477,33.743231,176.25
